epoch,loss,miou
0.000000000000000000e+00,1.040576934814453125e+00,6.227888266245523718e-01
1.000000000000000000e+00,9.897652268409729004e-01,6.880568067232767371e-01
2.000000000000000000e+00,9.537067413330078125e-01,7.256130973498026160e-01
3.000000000000000000e+00,9.293181896209716797e-01,7.364929318428039551e-01
4.000000000000000000e+00,8.945665359497070312e-01,7.337985436121622351e-01
5.000000000000000000e+00,8.559581637382507324e-01,7.255528966585794715e-01
6.000000000000000000e+00,8.317843675613403320e-01,7.179992993672689172e-01
7.000000000000000000e+00,8.079835772514343262e-01,7.104803522427877160e-01
8.000000000000000000e+00,7.920945882797241211e-01,7.050275405248006555e-01
9.000000000000000000e+00,7.704260349273681641e-01,7.014877597490946082e-01
1.000000000000000000e+01,7.479453682899475098e-01,6.997774442036946985e-01
1.100000000000000000e+01,7.238579988479614258e-01,6.998787522315979004e-01
1.200000000000000000e+01,7.078683376312255859e-01,6.989922920862833289e-01
1.300000000000000000e+01,6.899919509887695312e-01,6.990085641543070105e-01
1.400000000000000000e+01,6.713042855262756348e-01,6.985556681950887414e-01
1.500000000000000000e+01,6.592206954956054688e-01,6.984082857767740515e-01
1.600000000000000000e+01,6.513668894767761230e-01,6.998795270919799805e-01
1.700000000000000000e+01,6.277766823768615723e-01,7.001610596974691125e-01
1.800000000000000000e+01,6.270797252655029297e-01,7.021172642707824707e-01
1.900000000000000000e+01,6.109754443168640137e-01,7.038685083389282227e-01
2.000000000000000000e+01,5.999482870101928711e-01,7.063664992650350305e-01
2.100000000000000000e+01,5.857087969779968262e-01,7.077673474947611121e-01
2.200000000000000000e+01,5.782412886619567871e-01,7.092729806900024414e-01
2.300000000000000000e+01,5.738326311111450195e-01,7.110900680224100379e-01
2.400000000000000000e+01,5.613663196563720703e-01,7.129661043485006067e-01
2.500000000000000000e+01,5.558616518974304199e-01,7.149202426274617883e-01
2.600000000000000000e+01,5.511608123779296875e-01,7.157950003941854211e-01
2.700000000000000000e+01,5.470982789993286133e-01,7.166606386502584192e-01
2.800000000000000000e+01,5.358366966247558594e-01,7.184905608495076867e-01
2.900000000000000000e+01,5.357120633125305176e-01,7.199245293935140344e-01
3.000000000000000000e+01,5.297147035598754883e-01,7.206235527992248535e-01
3.100000000000000000e+01,5.223378539085388184e-01,7.222831249237060547e-01
3.200000000000000000e+01,5.217317342758178711e-01,7.227236827214559289e-01
3.300000000000000000e+01,5.217432975769042969e-01,7.227588693300882605e-01
3.400000000000000000e+01,5.109165906906127930e-01,7.243164976437886926e-01
3.500000000000000000e+01,5.060131549835205078e-01,7.265545527140299109e-01
3.600000000000000000e+01,5.078099370002746582e-01,7.268775502840677527e-01
3.700000000000000000e+01,5.066487789154052734e-01,7.269151409467061731e-01
3.800000000000000000e+01,4.988343715667724609e-01,7.283103068669637414e-01
3.900000000000000000e+01,5.066024661064147949e-01,7.283023198445638391e-01
4.000000000000000000e+01,4.993920922279357910e-01,7.288042505582174035e-01
4.100000000000000000e+01,4.987528324127197266e-01,7.290617823600769043e-01
4.200000000000000000e+01,5.006461143493652344e-01,7.295307914415994910e-01
4.300000000000000000e+01,4.981904625892639160e-01,7.289990782737731934e-01
4.400000000000000000e+01,4.943095147609710693e-01,7.292044361432393762e-01
4.500000000000000000e+01,4.942945837974548340e-01,7.295395334561666223e-01
4.600000000000000000e+01,4.936751127243041992e-01,7.310063838958740234e-01
4.700000000000000000e+01,4.945778250694274902e-01,7.315607666969299316e-01
4.800000000000000000e+01,4.957420229911804199e-01,7.311057249704996375e-01
4.900000000000000000e+01,4.959959387779235840e-01,7.314635912577310828e-01
