epoch,loss,miou
0.000000000000000000e+00,2.444131374359130859e+00,7.232694327831268311e-02
1.000000000000000000e+00,2.010039528210957993e+00,4.502029468615850044e-02
2.000000000000000000e+00,1.797885219256083245e+00,3.749213864405950142e-02
3.000000000000000000e+00,1.618901411692301506e+00,5.689092787603537010e-02
4.000000000000000000e+00,1.463091929753621345e+00,3.033501058816909790e-01
5.000000000000000000e+00,1.411138375600178962e+00,3.929034272829691754e-01
6.000000000000000000e+00,1.343977729479471916e+00,4.619217067956924438e-01
7.000000000000000000e+00,1.302266200383504158e+00,5.764068464438120154e-01
8.000000000000000000e+00,1.245471556981404548e+00,4.260486364364624023e-01
9.000000000000000000e+00,1.232377052307128906e+00,6.043632825215657922e-01
1.000000000000000000e+01,1.206707318623860603e+00,6.165700356165567664e-01
1.100000000000000000e+01,1.187902490297953362e+00,5.328751703103383752e-01
1.200000000000000000e+01,1.159140189488728767e+00,6.734912196795145300e-01
1.300000000000000000e+01,1.143970211346944099e+00,7.014013727506002160e-01
1.400000000000000000e+01,1.120655457178751702e+00,6.611759861310323450e-01
1.500000000000000000e+01,1.111387252807617188e+00,7.491984764734903601e-01
1.600000000000000000e+01,1.093248208363850837e+00,7.929669618606567383e-01
1.700000000000000000e+01,1.087038516998291016e+00,7.434653242429097864e-01
1.800000000000000000e+01,1.083563168843587166e+00,8.242765863736470910e-01
1.900000000000000000e+01,1.064658919970194573e+00,6.927505532900491980e-01
2.000000000000000000e+01,1.059247136116027832e+00,7.404453158378601074e-01
2.100000000000000000e+01,1.062029043833414788e+00,7.965814868609110144e-01
2.200000000000000000e+01,1.055085341135660881e+00,7.840282917022705078e-01
2.300000000000000000e+01,1.048835555712382073e+00,7.717909614245096472e-01
2.400000000000000000e+01,1.045404752095540291e+00,5.816817680994669226e-01
2.500000000000000000e+01,1.045041422049204582e+00,7.130809823671976355e-01
2.600000000000000000e+01,1.041455864906311035e+00,7.371679345766702918e-01
2.700000000000000000e+01,1.039883196353912354e+00,8.070050477981567383e-01
2.800000000000000000e+01,1.038753569126129150e+00,7.135531902313232422e-01
2.900000000000000000e+01,1.040808955828348870e+00,7.784954706827799109e-01
